大類,次分類,目錄排序,穴組名稱,穴名,位置,針法,解析,圖片,理論與發揮,主治關鍵字,頁碼
內科,心系,20,冠心病二針,火主穴,在火硬穴上1寸。在第1蹠骨與第2蹠骨連線部直前方陷中取之，即在太沖穴後5分貼骨。火主穴位於肝經太沖穴後之骨陷中。（附圖51）,針刺深度 0.5~1 寸。快速捻轉 1~2 分鐘，當出現酸、麻、重、脹感覺，一般即覺胸悶、心悸等症狀有所減輕。留針 20~30 分鐘，每 5 分鐘行針 1 次。,（1）本穴名火主，即心主，能主控心臟。本穴穴下有太沖脈，針此有“以脈治脈”及“以脈治心”的作用，因此針刺本穴治療心血管疾病作用甚強，還能治療心臟停搏，有強心復甦之效。 （2）本穴位於足厥陰肝經，足厥陰肝經與手厥陰心包經相通，心主穴與太沖穴功效相似，太沖穴是足厥陰肝經的輸穴兼原穴，這是心主穴能強心的原因。 （3）中醫學把血管統稱為筋膜。《素問·痿論篇》中說：“肝主筋膜。”由於肝主筋膜，筋膜構成筋脈，肝與心關係密切，肝陽升發不足，肝氣鬱滯或情志傷肝都會造成筋膜攣急、心脈攣急。研究證明，冠狀動脈痙攣不但會引起心絞痛，還會造成急性心肌梗死、猝死。因此針刺位於肝經之火主，有急救的作用。,images/圖6-3_火主穴.jpg,這是經絡、體應及五輸穴配合發揮組成的一組特效對針。冠狀動脈痙攣與筋膜有關，由於肝主筋膜，筋膜構成筋脈，肝陽不足，肝氣鬱滯或情志傷肝皆會造成筋膜攣急、心脈攣急。內關位於心包經，針刺內關直接作用於心臟，且內關位於兩筋之間，也有以筋治筋的作用，故針刺內關能治療心脈攣急。兩穴合用，有上下交濟之功，效果甚佳。 筆者按：此外，內關配足三里也是治療冠心病的特效對針。這是經絡、臟腑別通及五輸穴配合發揮組成的一組特效對針。足三里發揮之效能可參考筆者《楊維傑常見病特效一針療法》一書。,心臟病,70
內科,心系,21,昏厥二針,人中,在人中溝上 1/3 與下 2/3 交點處。(附圖 5),用毫針從下向上斜刺3分，開始可強刺激。待血壓上升後逐漸延長捻針的間隔時間，血壓穩定後可出針。,"（1）人中之位置在鼻口之間，天（陽）氣通於鼻，地（陰）氣通於口，人中溝處為面部元氣中樞，故能交通陰陽之氣。 (2) 本穴在督脈, 總督周身陽氣, 又在手足陽明經交匯處, 針刺本穴能溝通陰陽, 還能調理氣血、通腦醒神、回陽開竅, 故治療昏迷急證有殊效。 （3）本穴是急救常用要穴。《肘後備急方》中雲：“爪刺人中良久，又針人中至齒，立起……扁鵲法，即趙太子之患。” (4) 針刺人中能改善心臟功能, 對於低血壓者有升高血壓的作用。",,這是經絡、太極元氣及特定穴配合發揮組成的一組特效對針。人中能溝通陰陽、調理氣血、通腦醒神。內關能理氣寧心、化痰降逆、舒暢氣血、平降厥逆。兩穴合用為急救要穴。對於腦溢血昏迷者，則當另外論治。 筆者按：此外，太沖穴配人中穴亦為治療昏迷的特效對針。太沖穴之效能可參考筆者《楊維傑常見病特效一針療法》一書。,昏厥,72
內科,心系,21,昏厥二針,內關,位於前臂掌側，在腕橫紋正中直上2寸，兩筋（掌長肌腱與橈側腕屈肌腱）之間。在前臂掌面的下段，當曲澤與大陵的連線上，大陵（腕橫紋）上2寸，約與外關相對。（附圖22）,仰掌取穴，可先取一側內關（男取左側，女取右側），用1.5寸長毫針直刺1寸左右。強刺激，持續行針至患者甦醒為度。若針刺3分鐘還未甦醒，加刺另一側內關，不留針。出針後囑患者仍平臥休息片刻。,（1）內關穴為心包經絡穴，別走三焦經絡，具有醒腦開竅、寧心安神、強心通脈、鎮靜止痛、解鬱寬胸、疏暢氣機、和中降逆等作用，主治病證很多。治療心血管病、消化系統病變、精神病、五臟氣血失調療效頗佳。治療一時性、廣泛性供血不足造成的短暫意識喪失昏厥者，針刺內關能增加血流量和血氧的供給，還能快速恢復患者意識。 （2）心肝兩經上達於腦，昏迷多因痰迷心包或肝氣厥逆，氣血逆亂所致。內關穴為手厥陰心包經之絡穴，功能理氣寧心、化痰降逆，又手足厥陰經與肝相通，故本穴還能疏暢氣血、平降衝逆，有強心及調整腦血流迴圈的作用，針刺內關穴可促使昏厥者即刻甦醒，恢復正常。,,這是經絡、太極元氣及特定穴配合發揮組成的一組特效對針。人中能溝通陰陽、調理氣血、通腦醒神。內關能理氣寧心、化痰降逆、舒暢氣血、平降厥逆。兩穴合用為急救要穴。對於腦溢血昏迷者，則當另外論治。 筆者按：此外，太沖穴配人中穴亦為治療昏迷的特效對針。太沖穴之效能可參考筆者《楊維傑常見病特效一針療法》一書。,昏厥,72
內科,心系,22,卒中後遺症（半身不遂）二針,靈骨穴,在手背拇指與食指叉骨間，第1掌骨與第2掌骨接合處，與重仙穴相通。（附圖42）,取穴時拳手，在拇指、食指叉骨間，第1掌骨與第2掌骨接合處，距大白穴1.2寸，與重仙穴相通。用1.5~2寸針，針刺深度可透過重仙穴。視病情及患者體能情況決定留針時間。,"（1）靈骨穴在手部拇指與食指兩指合縫處，在合谷之後，針刺時貼骨進針，進針可透過心包經至三焦經，即深入縱三焦，是一個整體治療的要穴。 （2）靈骨在大腸經上，大腸經為陽明經，多氣多血，調理氣血作用甚強，針刺本穴調氣、補氣、溫陽作用極強。 （3）中風多因肝陽上亢，與心（火）肝（木）兩經關係密切。靈骨在合谷（屬木）、陽溪（屬火）之間，有木火之性，功同奇穴木火穴，有調理腦部氣血之功，故能治療中風。 （4）本穴溫陽作用極強，治療半身不遂功同補陽還五湯、真武湯。 (5) 靈骨在大腸經屬 “金”, 且靈骨應腎、應 “水”, 有金水相通之意, 功能 理氣順氣，肺腎雙調。 （6）本穴貼骨進針亦通腎，因“大腸與肝通”，故本穴又能治療肝筋疾病，可謂筋骨皆治。因此本穴為治療半身不遂之特效穴。",images/圖2-11_靈骨穴.jpg,這是經絡、三才、五行、體應配合發揮的一組特效對針。靈骨、大白均在大腸經上（屬金），陽明經多氣多血，故此二穴調理氣血作用較強。靈骨在合谷（屬木）、陽溪（屬火）之間，在五行中有木火之性。大白穴穴性同三間屬木，木火二穴同用溫陽作用更強，二穴合用功同補陽還五湯、真武湯。筆者臨床治療數十例半身不遂患者，皆以靈骨、大白為對穴（針健側），效果非十四經正穴所能比擬，此二穴稱為“偏癱二針”。若再配風市或腎關，間以背部五嶺穴點刺，療效更佳。 筆者按：風市穴之效能可參考筆者《楊維傑常見病特效一針療法》一書。,中風後遺症,73
內科,心系,22,卒中後遺症（半身不遂）二針,大白穴,大白穴即大腸經之三間穴。（附圖2）,立掌，虎口向上，針刺1~1.5寸，緊貼骨緣下針。可視病情及患者體能狀況決定留針時間。,（1）大白穴同三間穴一樣屬木，故能祛風，又透過大腸經與肝經相通，貼骨進針通腎，本穴可謂肝腎並治，筋骨皆治。因此是治療半身不遂之要穴。 （2）本穴立拳進針，可透過縱三焦，穿越心包經、三焦經，抵達小腸經，為整體治療的要穴。,images/圖2-10_大白穴.jpg,這是經絡、三才、五行、體應配合發揮的一組特效對針。靈骨、大白均在大腸經上（屬金），陽明經多氣多血，故此二穴調理氣血作用較強。靈骨在合谷（屬木）、陽溪（屬火）之間，在五行中有木火之性。大白穴穴性同三間屬木，木火二穴同用溫陽作用更強，二穴合用功同補陽還五湯、真武湯。筆者臨床治療數十例半身不遂患者，皆以靈骨、大白為對穴（針健側），效果非十四經正穴所能比擬，此二穴稱為“偏癱二針”。若再配風市或腎關，間以背部五嶺穴點刺，療效更佳。 筆者按：風市穴之效能可參考筆者《楊維傑常見病特效一針療法》一書。,中風後遺症,73
內科,心系,23,眩暈二針,曲池,屈肘，肘橫紋外側端，當尺澤與肱骨外上髁連線中點。（附圖4）,針刺時，直刺1.5寸。針刺後令患者輕微活動頭部，幾分鐘內即可見效，留針30分鐘，每10分鐘捻針1次，並輕微活動頭部。,"（1）頭暈在中醫學中謂之肝風，《黃帝內經》中有“諸風掉眩，皆屬於肝”。曲池為大腸經合穴，透過大腸經與肝經相通，治療頭暈甚效。 (2) 曲池在手陽明經, 陽明經多氣多血, 調理氣血作用極強。針刺曲池對肝 陽上亢、肝血不足導致的頭暈症狀，皆極有效。 （3）從太極全息來說，曲池穴恰好位於上臂三才的起點，即頭點，對應頭部，所以說曲池穴能治療頭部疾病。 (4) 本穴為十三鬼穴之一, 有鎮定作用, 還能治百邪, 如癲狂、高血壓等, 並有安眠作用。 (5) 由於本穴是手陽明經的穴位, 手足陽明經相通, 故能治療梅尼埃病。",,這是臟腑別通、同名經相通、五輸穴、三才綜合應用組成的特效對穴。頭暈，在中醫學中一般與“風”有關。《黃帝內經》中曰：“諸風掉眩，皆屬於肝。”大腸經之曲池、三間、靈骨等穴，治療頭暈皆有效。但筆者發現“內關配曲池”組成的這組對針，治療眩暈療效最佳，稱為“暈二針”。 曲池配內關，治療嚴重頭暈且伴有噁心嘔吐的病證，如梅尼埃病，頗為有效。梅尼埃病以頭暈為主症，暈得厲害時就天旋地轉，伴有噁心嘔吐。筆者數十年來以內關配曲池治療十餘例梅尼埃病患者，均能立刻見效。患者因眩暈嘔吐或欲嘔就診，就診時皆由旁人扶持而來，在筆者針刺治療後立刻輕鬆，能自行快樂回家。,眩暈,74
內科,心系,23,眩暈二針,內關,本穴在前臂掌側，曲澤與大陵的連線處，距腕橫紋2寸，掌長肌腱與橈側腕屈肌腱之間。與外關穴相對。（附圖22）,針刺時，仰掌取穴，用 1.5 寸毫針直刺 1 寸左右。得氣後施以捻轉提插手法，中等刺激，捻針時囑患者輕輕活動頭部。留針 30 分鐘，每隔 10 分鐘捻針 1 次。,（1）內關穴在手厥陰心包經，心包經與肝經相通，所以內關穴能治療肝經頭暈之病。 （2）內關穴為心包經絡穴，功能益氣化痰活血，治療痰瘀導致的頭暈療效較好。 （3）內關穴透過心包與胃臟腑別通，故內關穴還能治療胃經病變。筆者臨床用本穴治療嘔吐、眩暈甚效。,,這是臟腑別通、同名經相通、五輸穴、三才綜合應用組成的特效對穴。頭暈，在中醫學中一般與“風”有關。《黃帝內經》中曰：“諸風掉眩，皆屬於肝。”大腸經之曲池、三間、靈骨等穴，治療頭暈皆有效。但筆者發現“內關配曲池”組成的這組對針，治療眩暈療效最佳，稱為“暈二針”。 曲池配內關，治療嚴重頭暈且伴有噁心嘔吐的病證，如梅尼埃病，頗為有效。梅尼埃病以頭暈為主症，暈得厲害時就天旋地轉，伴有噁心嘔吐。筆者數十年來以內關配曲池治療十餘例梅尼埃病患者，均能立刻見效。患者因眩暈嘔吐或欲嘔就診，就診時皆由旁人扶持而來，在筆者針刺治療後立刻輕鬆，能自行快樂回家。,眩暈,74
內科,心系,24,失眠二針,間谷穴,間谷穴位於大白與合谷穴之間，也就是位於三間與合谷中間。（附圖2）,針刺深度 0.5~1 寸，得氣後留針 30 分鐘，每間隔 10 分鐘捻針 1 次。,失眠時常常會伴有心煩、胸悶、煩躁不安，根據太極全息對應來看，間谷穴（介於大白與合谷中間）對應心胸部位，針刺本穴治療心胸部位病證甚效。,,這是太極全息對應、臟腑別通（膽與心通）、肝經與膽經相表裡組成的一組特效對穴。失眠的時候，心胸間常常會很煩躁，間谷穴從太極全息對應來看和心胸部位對應。失眠與心火旺、痰熱、肝火旺有關，風市皆能治之。間谷穴與風市合用治療失眠甚效，稱為“失眠二針”，簡稱“眠二針”。 筆者按：此外在耳尖點刺瀉血治療失眠也甚效，甚至不用再複診，治療當晚就可以睡得很好，耳尖點刺瀉血有交通心腎、活血化瘀、清肝膽火、鎮定祛風等作用。中醫學認為重症失眠多因心腎不交，心腎皆開竅於耳，因此點刺耳尖瀉血能交通心腎。少陽經也繞耳入耳，在耳尖刺血等同於柴胡疏肝湯，耳尖刺血有活血化瘀、鎮定祛風（可取代風市之作用）、交通心腎的作用，心、腎、膽皆可治，所以說耳尖是治療失眠最特效的穴位。,失眠,75
內科,心系,24,失眠二針,風市,在大腿外側部的中線上，當膕橫紋上7寸。（附圖28）,針刺時，針刺深度1~2寸。得氣後留針30分鐘，每間隔10分鐘捻針1次。,"（1）風市，顧名思義為風聚集之所，為鎮定治風的要穴。治療神經系統病變皆有療效。 (2) 風市位於膽經, “心與膽通”, 故本穴能安神, 可治療心火旺及痰熱擾心病證。 （3）肝經、膽經相表裡，故風市可治療肝火旺盛導致的失眠，風市治療失眠甚效。 （4）風市鎮靜止痛的作用很強，神經衰弱且伴有不易入眠者適合選用風市治之。",,這是太極全息對應、臟腑別通（膽與心通）、肝經與膽經相表裡組成的一組特效對穴。失眠的時候，心胸間常常會很煩躁，間谷穴從太極全息對應來看和心胸部位對應。失眠與心火旺、痰熱、肝火旺有關，風市皆能治之。間谷穴與風市合用治療失眠甚效，稱為“失眠二針”，簡稱“眠二針”。 筆者按：此外在耳尖點刺瀉血治療失眠也甚效，甚至不用再複診，治療當晚就可以睡得很好，耳尖點刺瀉血有交通心腎、活血化瘀、清肝膽火、鎮定祛風等作用。中醫學認為重症失眠多因心腎不交，心腎皆開竅於耳，因此點刺耳尖瀉血能交通心腎。少陽經也繞耳入耳，在耳尖刺血等同於柴胡疏肝湯，耳尖刺血有活血化瘀、鎮定祛風（可取代風市之作用）、交通心腎的作用，心、腎、膽皆可治，所以說耳尖是治療失眠最特效的穴位。,失眠,75
內科,心系,25,疲倦嗜睡（發作性睡病）二針,鼻翼穴,在鼻翼上端之溝陷中。(附圖 60),從鼻翼中央上端之溝陷尾端刺入。採用提捏進針法，向鼻尖方向刺入 2~3分深，小幅度左右捻轉，出現針感後留針。留針30分鐘，每隔10分鐘小幅度左右捻針1次。,"（1）疲勞嗜睡者多為陽虛，鼻子在面部最為突出，為陽中之陽，有很強的溫陽作用，針刺本穴治療嗜睡甚效。 (2) 本穴位於督脈與手足陽明經之間, 督脈溫陽, 陽明經多氣多血, 所以說本穴溫陽及調理氣血的作用均較佳。 （3）從面部太極全息觀之，鼻對應脾胃處，故鼻翼穴可理氣、健脾，對於脾虛溼盛導致的睏乏也有效。",images/圖10-26_鼻翼穴.jpg,這是健脾穴與溫陽穴組成的一組對穴。疲乏嗜睡者大多為陽氣不足或脾虛溼盛所致。針刺三叉三穴可脾腎雙補，兼升提肺氣，再針刺鼻翼穴迅速振奮陽氣，兩穴合用，不僅有緩解疲勞的作用，還能迅速提神醒腦，稱為“嗜睡二針”，簡稱“倦二針”。,"疲倦嗜睡,發作性睡病",76
內科,心系,25,疲倦嗜睡（發作性睡病）二針,三叉三穴,握拳，在手背第4、第5指縫接合處偏於第4指骨下筋旁。（附圖61）,握拳取穴，避開可見淺靜脈，用毫針沿掌骨間隙貼皮下刺入1寸左右，捻轉數次。區域性可有酸、脹、麻、觸電感，並向指和臂肘放射。留針30分鐘，每5~10分鐘捻針1次。,（1）本穴位於手背第4、第5指縫間，但貼近第4指骨。從骨下筋旁進針，即貼筋、貼骨進針，能肝腎並治。 （2）本穴透過中白（中渚）、下白穴等穴位，功能健脾益氣。三叉三穴位於三焦經，透過腎與三焦相通，也能補腎。 （3）本穴在掌八卦中位於“坤卦”位置，坤主脾，所以能補脾益氣祛溼，可以治療脾虛有溼導致的疲勞、嗜睡。 （4）針刺本穴能脾、肝、腎皆治，又能增加免疫功能，治療眼皮下垂、眼皮沉重、重症肌無力等頗有效。,,這是健脾穴與溫陽穴組成的一組對穴。疲乏嗜睡者大多為陽氣不足或脾虛溼盛所致。針刺三叉三穴可脾腎雙補，兼升提肺氣，再針刺鼻翼穴迅速振奮陽氣，兩穴合用，不僅有緩解疲勞的作用，還能迅速提神醒腦，稱為“嗜睡二針”，簡稱“倦二針”。,"疲倦嗜睡,發作性睡病",76
內科,心系,26,癔症二針,後溪,在手掌尺側，微握拳，在第5掌指關節後的遠側掌橫紋頭赤白肉際處。（附圖12）,針刺時，用毫針刺入，針尖朝向掌心，捻轉進針5分深。得氣後施以大幅度提插捻轉，強刺激，留針20~30分鐘。每5~10分鐘提插捻轉1次。,（1）後溪穴是手太陽經之輸穴，又是八脈交會穴之一，通於督脈，督脈上行入腦，腦為元神之府，故針刺後溪穴有醒腦清神之功。可用來治療精神方面的疾病（《針灸大成·蘭江賦》），筆者在臨床上常針刺後溪治療癔症、癲癇、中風不語等疾患。 （2）後溪穴為小腸經穴，心經與小腸經相表裡，兩經都屬火，故本穴能清心瀉火安神志。 （3）督脈與肝經交會於顛頂，後溪穴通於督脈能聯絡肝經，屬於輸木穴，亦能疏肝氣，所以說治療癔症有特效。,,這是經絡配合特定鎮定要穴組成的一組對針。後溪穴為八脈交會穴通於督脈，督脈並於脊裡入於腦，針刺後溪穴可調節大腦的功能活動，後溪穴是輸木穴，能疏肝氣，故治癔症有效。間使為手厥陰心包經之經穴，為十三鬼穴之一，素為鎮定神志要穴，間使還是“經金穴”，屬金，理氣化痰作用較好，亦可治療痰迷心竅導致的神志病變。此兩穴合用，治療癔症甚效。,癔症,78
內科,心系,26,癔症二針,間使,在內關穴上1寸，兩筋之間。（附圖22）,針刺時，用毫針直刺1寸深，強刺激，提插行針30秒，行先瀉後補手法。留針20~30分鐘，每10分鐘提插捻轉1次。,(1) 間使為手厥陰心包經之經穴，為十三鬼穴之一，是鎮定神志的要穴。 （2）癔症是一種常見的神經官能症，多因精神因素等造成臟腑陰陽氣機逆亂，其症狀如同中鬼邪。《肘後歌》中說：“狂言盜汗如見鬼，惺惺間始便下針。”《靈光賦》中說：“水溝間使治邪癲。”《長桑君天星秘訣歌》中說：“如中鬼邪先刺間使。”這些古書中都指出間使能治療癔症。 （3）間使為心包經之“經金穴”，具有理氣化痰、寧心安神之功，臨床常用於治療心血瘀阻、心神不寧、痰迷心竅導致的神志病變。故治療癔症甚效。,,這是經絡配合特定鎮定要穴組成的一組對針。後溪穴為八脈交會穴通於督脈，督脈並於脊裡入於腦，針刺後溪穴可調節大腦的功能活動，後溪穴是輸木穴，能疏肝氣，故治癔症有效。間使為手厥陰心包經之經穴，為十三鬼穴之一，素為鎮定神志要穴，間使還是“經金穴”，屬金，理氣化痰作用較好，亦可治療痰迷心竅導致的神志病變。此兩穴合用，治療癔症甚效。,癔症,78
內科,心系,27,癲癇二針,後溪,在手掌尺側，微握拳，在第5掌指關節後的遠側掌橫紋頭赤白肉際處。（附圖12）,用毫針直刺，產生針感後，緊提慢按，加重針感，急速出針。每日針刺1次。,（1）督脈入於腦，後溪通於督脈，針刺後溪可治療多種神志病，常用於治療癲癇。 （2）後溪為八脈交會穴之一，與陽蹺脈、申脈穴交會，通於督脈。王叔和說“癲癇病證，不知所苦，兩蹺之下”。後溪為治療癇證的要穴。 （3）後溪自古以來就常用於治療癲癇。《蘭江賦》中說：“後溪專治督脈病，癲狂此穴治還輕。”《勝玉歌》中說：“後溪鳩尾及神門，治療五癇立便痊。”《通玄指要賦》中說：“癇發癲狂兮，憑後溪而療理。”《醫宗金鑑》中說：“後溪能治諸瘧疾，能令癲癇漸漸輕。”,,這是特定穴（八脈交會穴、十三鬼穴）配合應用組成的對穴。後溪通於督脈，督脈通於腦，故後溪能治療多種神志病變，間使穴為十三鬼穴之一，鎮定作用極強。兩穴自古以來就常用於治療癲癇，合用則效果加倍，稱為“癲癇二針”。 筆者按：①針刺間使配合人中穴治療癲癇效果較佳。人中穴之效能可參考筆者《楊維傑常見病特效一針療法》一書。②後溪穴配合申脈穴亦為治療癲癇的常用特效對穴。申脈穴之效能可參考筆者《楊維傑常見病特效一針療法》一書。,癲癇,79
內科,心系,27,癲癇二針,間使,在內關穴上1寸，掌上肌腱與橈側腕屈肌腱之間。在大陵穴上3寸，當前臂掌側面上3/4與下1/4交界處。（附圖22）,直刺，從掌側面向背側面刺入。針刺深度 5~8 分。,"(1) 本穴為手厥陰心包經之經穴, 為十三鬼穴之一, 鎮定作用極強, 具有通暢心絡、寧心安神的功效。臨床常用於治療心血瘀阻、心神不寧所致的病證, 如心悸、心痛、癲狂、癔症、痛證等。 （2）本穴自古以來就常用來治療癲癇。《靈光賦》中說：“水溝、間使治邪癲。”《肘後歌》中說：“狂言盜汗如見鬼，惺惺間使便下針。”《雜病穴法歌》中說：“人中、 間使去癲妖。”本穴常用於治療癲癇，應用時配合人中穴針刺效果尤佳。",,這是特定穴（八脈交會穴、十三鬼穴）配合應用組成的對穴。後溪通於督脈，督脈通於腦，故後溪能治療多種神志病變，間使穴為十三鬼穴之一，鎮定作用極強。兩穴自古以來就常用於治療癲癇，合用則效果加倍，稱為“癲癇二針”。 筆者按：①針刺間使配合人中穴治療癲癇效果較佳。人中穴之效能可參考筆者《楊維傑常見病特效一針療法》一書。②後溪穴配合申脈穴亦為治療癲癇的常用特效對穴。申脈穴之效能可參考筆者《楊維傑常見病特效一針療法》一書。,癲癇,79
內科,胃腸系,28,膈肌痙攣（頑固性呃逆）二針,間使,前臂掌側，腕橫紋上3寸，當掌長肌腱與橈側腕屈肌腱之間。（附圖22）,毫針針刺法，間使穴男取左側，女取右側，病情嚴重者取雙側，捻針得氣後留針30分鐘，每隔10分鐘捻針1次。,(1) 呃逆主要因胃氣上逆動膈所致。間使穴是手厥陰心包經穴，其循行“下膈，歷絡三焦”，故能疏導三焦之氣，還能行氣散滯，長於寬胸利膈。 （2）間使為手厥陰心包經之經穴，心包與胃臟腑別通，故針刺心包經經穴可以治療胃病。 （3）呃逆為有聲音之病，所謂“病變於音者取之經”，經穴屬金，金與發聲有密切關係。間使穴為心包經之經金穴，因此善於治療胃經病變如呃逆，效果較好。多數患者針1次即可止呃，少數患者需針2次。,,這是臟腑別通、太極全息對應組合而成的特效對穴。呃逆與胃氣相關，選穴多取胃經穴位。心包與胃臟腑別通，間使穴為心包經之經金穴，病變於音者取經穴，呃逆患者首選間使穴。從頭面部太極正象可知眉為上、中焦分界，等同於橫膈，因此攢竹穴能治療呃逆。兩穴合用，療效甚速，稱為“呃逆二針”。 筆者按：①人中穴配攢竹穴亦為治療膈肌痙攣之特效對針。人中穴之效能可參考筆者《楊維傑常見病特效一針療法》一書。②按壓翳風，翳風穴位於耳垂根後方陷中。在乳突前下方凹陷處，與耳垂平齊，張口取之。重按翳風穴，以痠痛為度，按壓時囑患者先大力吸氣，然後儘量憋氣，每次按1分鐘左右，若重按1次無效，可連續重按幾次。筆者臨床用此穴治療呃逆效果較好，對於呃逆初起者效果尤佳。治療時囑呃逆患者閉氣屏息，按壓翳風穴1~2分鐘即可見效，筆者30多年來用此穴已治癒多例呃逆患者。,"膈肌痙攣,頑固性呃逆",80
內科,胃腸系,28,膈肌痙攣（頑固性呃逆）二針,攢竹,在眉頭內側凹陷處。位於眉毛的內側端，當眉頭陷中，眉眶上切跡處。（附圖14）,患者取坐位或仰靠位，醫者兩手拇指重按患者面部攢竹穴，由輕到重，持續按壓 3~5 分鐘。在按壓時，囑患者先大力吸氣，然後儘量憋氣 1 分鐘，其呃自止。,（1）攢竹穴位於眉旁。從頭面部太極正象可知眉為上、中焦分界，等同於橫膈，因此針刺攢竹穴能治呃逆。 （2）攢竹穴為足太陽膀胱經穴，由於膀胱經與腎經相表裡，所以本穴對腎氣失於攝納，引動逆氣上乘，夾胃氣攻膈導致呃逆者有效。,,這是臟腑別通、太極全息對應組合而成的特效對穴。呃逆與胃氣相關，選穴多取胃經穴位。心包與胃臟腑別通，間使穴為心包經之經金穴，病變於音者取經穴，呃逆患者首選間使穴。從頭面部太極正象可知眉為上、中焦分界，等同於橫膈，因此攢竹穴能治療呃逆。兩穴合用，療效甚速，稱為“呃逆二針”。 筆者按：①人中穴配攢竹穴亦為治療膈肌痙攣之特效對針。人中穴之效能可參考筆者《楊維傑常見病特效一針療法》一書。②按壓翳風，翳風穴位於耳垂根後方陷中。在乳突前下方凹陷處，與耳垂平齊，張口取之。重按翳風穴，以痠痛為度，按壓時囑患者先大力吸氣，然後儘量憋氣，每次按1分鐘左右，若重按1次無效，可連續重按幾次。筆者臨床用此穴治療呃逆效果較好，對於呃逆初起者效果尤佳。治療時囑呃逆患者閉氣屏息，按壓翳風穴1~2分鐘即可見效，筆者30多年來用此穴已治癒多例呃逆患者。,"膈肌痙攣,頑固性呃逆",80
內科,胃腸系,29,嘔吐二針,內關,在前臂內側，腕橫紋正中直上2寸，兩筋之間。（附圖22）,囑患者於飯後，未出現嘔吐症狀前，立即舒腕仰掌取穴，取雙側穴位。用毫針快速刺入，直刺約1寸，得氣後施以提插捻轉手法，強刺激。在提插過程中，囑患者深呼吸2~3次。留針30分鐘，每5~10分鐘重複上述手法1次。嘔吐嚴重者可每日早、晚飯後各針1次。,（1）內關穴是手厥陰心包經之絡穴，別走手少陽三焦經，有活血通絡、安神鎮痛、寬胸理氣、清肝解鬱、和胃寧心、降逆止嘔的作用，能治療三焦胸腹諸疾， 還有調整腸胃功能的作用。 （2）內關穴透過手足同名經與肝經相通，有同氣相求的作用，具有調和脾胃、疏肝理氣、和中降逆止嘔等功效。臨床上常用本穴治療急慢性胃炎、嘔吐、呃逆、胃痙攣、膽絞痛、急腹痛等疾患。內關穴有良好的雙向調節作用，既能止吐，又能催吐。 （3）心包與胃臟腑別通，因此內關穴能和胃益中，刺之能使中焦氣機升降正常，施針後一般見效很快。針刺本穴治療各種原因導致的嘔吐效果顯著，可即刻緩解症狀。,,此為臟腑別通及前後對應組成的特效對針。內關穴屬於手厥陰心包經之絡穴，心包與胃臟腑別通，因此內關穴有和胃益中的作用，治嘔吐甚效。總樞基於前後對應原則，能治療口喉病證。兩穴合用治療嘔吐甚效，稱為“嘔吐二針”。 筆者按：治療嘔吐還有兩組對穴，療效亦甚佳：①內關配中魁。②內關配中脘。中魁及中脘之效能可參考筆者《楊維傑常見病特效一針療法》一書。,嘔吐,81
內科,胃腸系,29,嘔吐二針,總樞穴,在頭部入髮際8分，在枕骨和第1頸椎之間。（附圖60）,針刺深度 3~5 分，用三稜針較毫針安全且有效。針刺時用手將本穴處肌肉捏起，然後刺之。筆者臨床治療嘔吐患者多用採血針刺之，既簡單，又安全，而且有效。,"（1）本穴入髮際8分，介於督脈風府穴與啞門之間。基於前後對應原則，所以本穴能治療嘔吐、發言無聲等口喉病。 (2) 治療嘔吐用三稜針點刺確有特效, 本穴治療梅尼埃病之嘔吐尤為特效。",images/圖10-11_總樞穴.jpg,此為臟腑別通及前後對應組成的特效對針。內關穴屬於手厥陰心包經之絡穴，心包與胃臟腑別通，因此內關穴有和胃益中的作用，治嘔吐甚效。總樞基於前後對應原則，能治療口喉病證。兩穴合用治療嘔吐甚效，稱為“嘔吐二針”。 筆者按：治療嘔吐還有兩組對穴，療效亦甚佳：①內關配中魁。②內關配中脘。中魁及中脘之效能可參考筆者《楊維傑常見病特效一針療法》一書。,嘔吐,81
